127.0.0.1 - - [25/Apr/2019:09:14:31 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:14:32 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:14:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:20:52 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:21:18 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:21:31 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:21:31 +0900] "GET /ClientTest/html/ex26_form.htm? HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:35:55 +0900] "GET /ClientTest/html/ex26_form.htm? HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:36:57 +0900] "GET /ClientTest/html/ex26_form.htm? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:37:05 +0900] "GET /ClientTest/html/ex26_ok.jsp?id=hong&pwd=1234 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:39:06 +0900] "GET /ClientTest/html/ex26_form.htm? HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:39:12 +0900] "GET /ClientTest/html/ex26_ok.jsp?id=hnog&pwd=1234 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:40:03 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:40:39 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [25/Apr/2019:09:40:57 +0900] "POST /ClientTest/html/ex26_ok.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:20:42 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:20:53 +0900] "POST /ClientTest/html/ex26_ok.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:21:00 +0900] "POST /ClientTest/html/ex26_ok.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:21:41 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:21:44 +0900] "POST /ClientTest/html/ex26_ok.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:23:22 +0900] "GET /ClientTest/html/ex26_form.htm HTTP/1.1" 200 2422
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:32:10 +0900] "GET /ClientTest/html/ex27_form.htm HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:32:27 +0900] "GET /ClientTest/html/ex27_form.htm HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:35:10 +0900] "GET /ClientTest/html/ex27_form.htm HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:36:35 +0900] "GET /ClientTest/html/ex27_form.htm HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:36:37 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=test HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:38:46 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=test HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:39:33 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=test HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:42:11 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=test HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [25/Apr/2019:11:05:33 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=test HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [25/Apr/2019:11:05:38 +0900] "GET /ClientTest/html/ex27_form.htm?txt1=%EC%95%84%EB%AC%B4%EA%B0%9C HTTP/1.1" 200 1354
