127.0.0.1 - - [30/Apr/2019:08:37:59 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:38:00 +0900] "GET /ClientTest/css/ex04_selector.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:38:00 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Apr/2019:08:41:33 +0900] "GET /ClientTest/css/ex05_selector.htm HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:11:01 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:11:09 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:11:34 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:12:40 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:15:06 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:15:35 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:23:15 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:23:43 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:24:26 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:24:43 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:24:48 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:24:49 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:24:49 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:25:03 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:25:26 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:26:27 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:26:53 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:28:05 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:28:14 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:28:27 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:29:07 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:29:21 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:30:12 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:33:02 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:33:47 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:34:15 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:34:23 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:34:41 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:35:04 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1717
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:35:51 +0900] "GET /ClientTest/css/ex17_box.htm HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:15 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:39 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:42 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:46 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:47 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:47 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:37:47 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:38:26 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:39:14 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:39:15 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:39:16 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:39:16 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2019:09:39:16 +0900] "GET /ClientTest/css/ex15_box.htm HTTP/1.1" 304 -
