127.0.0.1 - - [26/Apr/2019:09:21:37 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Apr/2019:09:21:37 +0900] "GET /ClientTest/html/ex31_html5.html HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [26/Apr/2019:09:21:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Apr/2019:09:23:58 +0900] "GET /ClientTest/html/ex31_html5.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [26/Apr/2019:09:31:38 +0900] "GET /ClientTest/html/ex31_html5.html HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:14:43 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:17:13 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:18:05 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:22:48 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:24:06 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:29:47 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:33:08 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:38:55 +0900] "GET /ClientTest/css/ex01_1.htm HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:44:44 +0900] "GET /ClientTest/css/ex01_1.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:44:46 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:44:46 +0900] "GET /ClientTest/css/ex01.css HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:46:56 +0900] "GET /ClientTest/css/ex01.htm HTTP/1.1" 200 2659
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:46:56 +0900] "GET /ClientTest/css/ex01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:10:46:59 +0900] "GET /ClientTest/css/ex01_1.htm HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [26/Apr/2019:11:17:33 +0900] "GET /ClientTest/css/ex02_selector.htm HTTP/1.1" 200 1089
