127.0.0.1 - - [24/Apr/2019:09:14:36 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:14:37 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:14:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:14:39 +0900] "GET /ClientTest/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:18:14 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:18:17 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:19:55 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:19:56 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:23:45 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:23:46 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:23:47 +0900] "GET /ClientTest/admin/admin.htm HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:24:26 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:24:26 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:24:27 +0900] "GET /ClientTest/admin/admin.htm HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:33:18 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:34:02 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:34:03 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:35:43 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:35:46 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:35:53 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:35:54 +0900] "GET /ClientTest/admin/admin.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:35:55 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:36:18 +0900] "GET /ClientTest/ex17_path.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:36:20 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:41:36 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:41:39 +0900] "GET /ClientTest/member/sub/sub.htm HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:43:03 +0900] "GET /ClientTest/member/member.htm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2019:09:43:09 +0900] "GET /ClientTest/member/sub/sub.htm HTTP/1.1" 200 158
